"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","244","","OrdersTest","","OrdersTest","","orderCanBeCreated[1]",""
"passed","","","3291","","ListOfOrdersTest","","ListOfOrdersTest","","orderCanBeCreated",""
"passed","","","234","","OrdersTest","","OrdersTest","","orderCanBeCreated[2]",""
"passed","","","761","","CreateCourierTest","","CreateCourierTest","","canNotCreateTwoSameCouriers",""
"passed","","","1558","","LoginCourierTest","","LoginCourierTest","","courierCanLogin",""
"passed","","","3551","","OrdersTest","","OrdersTest","","orderCanBeCreated[0]",""
"passed","","","690","","LoginCourierTest","","LoginCourierTest","","canNotLoginWithoutAllFields",""
"passed","","","704","","LoginCourierTest","","LoginCourierTest","","canNotLoginWithWrongLoginAndPassword",""
"passed","","","478","","CreateCourierTest","","CreateCourierTest","","canNotCreateCourierWithoutAllFields",""
"passed","","","610","","CreateCourierTest","","CreateCourierTest","","courierCanBeCreated",""
"passed","","","185","","OrdersTest","","OrdersTest","","orderCanBeCreated[3]",""
